发文时间,发布者id,发布者名字,内容信息,被提及人,频道
2022-08-01T15:08:20.826000+00:00,232563159976640522,dauerburner,Controller support wasn't working in all menus for me,,feedback-and-bugs
2022-08-01T15:05:33.533000+00:00,401536937078423552,Ghoul,"the pain in his eyes, beautifull ❤️",,feedback-and-bugs
2022-08-01T15:05:20.775000+00:00,401536937078423552,Ghoul,https://clips.twitch.tv/RacyQuaintPidgeonVoHiYo-VqWDCI6NlsOTAUNP,,feedback-and-bugs
2022-08-01T15:03:23.243000+00:00,401536937078423552,Ghoul,"yeah, like that guy who thought he beat the final boss of elden ring after 250+ tries... And then he found out about the second phase 😄",,feedback-and-bugs
2022-08-01T15:01:33.637000+00:00,620231365199265793,battlebot579,"And you think you have won but, oh wait this is From Software, so you always lose",,feedback-and-bugs
2022-08-01T15:01:00.966000+00:00,620231365199265793,battlebot579,From Software has to remind you that this is a From Software game and nothing is ever easy,Ghoul,feedback-and-bugs
2022-08-01T15:00:51.505000+00:00,640552808864546828,LukeD,Mwuhahaha,,general-chat
2022-08-01T15:00:39.210000+00:00,640552808864546828,LukeD,Who said anything about being alive?,Jord,general-chat
2022-08-01T14:45:02.070000+00:00,401536937078423552,Ghoul,https://tenor.com/view/track-him-find-him-kill-him-bring-him-to-me-get-him-gif-15743207,,general-chat
2022-08-01T14:43:52.649000+00:00,401536937078423552,Ghoul,"I dont think any build has too many issues with killing big bosses(ran 2 builds myself), maybe from challeging upwards they got a bit more time consuming, but never ""From software"" hard 😄",,feedback-and-bugs
2022-08-01T14:40:20.318000+00:00,379941526589145088,lolo-_-guitarra,I've be able to kill a Big Boss without  problems. It's broken,,feedback-and-bugs
2022-08-01T14:39:38.592000+00:00,620231365199265793,battlebot579,"It will be the only way you can play, which is not what the developers want",Ghoul,feedback-and-bugs
2022-08-01T14:38:50.171000+00:00,401536937078423552,Ghoul,But it is fun this way!,battlebot579,feedback-and-bugs
2022-08-01T14:35:37.561000+00:00,615969175864868877,Riggy Gaming,🤣,,general-chat
2022-08-01T14:33:00.322000+00:00,160521135363063809,Jord,🤣youll never take me alive,,general-chat
2022-08-01T14:32:07.750000+00:00,640552808864546828,LukeD,lol,,general-chat
2022-08-01T14:32:04.257000+00:00,640552808864546828,LukeD,Nice knowing ya! 😄,,general-chat
2022-08-01T14:31:57.170000+00:00,640552808864546828,LukeD,"I'm sorry, if the sun can reach your phone then you must be banned",,general-chat
2022-08-01T14:28:20.258000+00:00,160521135363063809,Jord,Always open tho due to my fan pulling air to keep the room cool,,general-chat
2022-08-01T14:27:09.511000+00:00,160521135363063809,Jord,I have blinds and sun blocker curtains 😅,,general-chat
2022-08-01T14:25:07.032000+00:00,640552808864546828,LukeD,"Yes, this",,general-chat
2022-08-01T14:24:54.033000+00:00,160521135363063809,Jord,https://tenor.com/view/think-about-it-use-your-brain-use-the-brain-think-brain-gif-7914082,,general-chat
2022-08-01T14:24:48.489000+00:00,640552808864546828,LukeD,😛,,general-chat
2022-08-01T14:24:44.367000+00:00,640552808864546828,LukeD,Big brain,,general-chat
2022-08-01T14:24:40.548000+00:00,640552808864546828,LukeD,Can't shut the curtains if you don't have curtains,Jord,general-chat
2022-08-01T15:05:33.533000+00:00,401536937078423552,Ghoul,"the pain in his eyes, beautifull ❤️",,feedback-and-bugs
2022-08-01T15:05:20.775000+00:00,401536937078423552,Ghoul,https://clips.twitch.tv/RacyQuaintPidgeonVoHiYo-VqWDCI6NlsOTAUNP,,feedback-and-bugs
2022-08-01T15:03:23.243000+00:00,401536937078423552,Ghoul,"yeah, like that guy who thought he beat the final boss of elden ring after 250+ tries... And then he found out about the second phase 😄",,feedback-and-bugs
2022-08-01T15:01:33.637000+00:00,620231365199265793,battlebot579,"And you think you have won but, oh wait this is From Software, so you always lose",,feedback-and-bugs
2022-08-01T15:01:00.966000+00:00,620231365199265793,battlebot579,From Software has to remind you that this is a From Software game and nothing is ever easy,Ghoul,feedback-and-bugs
2022-08-01T15:00:51.505000+00:00,640552808864546828,LukeD,Mwuhahaha,,general-chat
2022-08-01T15:00:39.210000+00:00,640552808864546828,LukeD,Who said anything about being alive?,Jord,general-chat
2022-08-01T14:45:02.070000+00:00,401536937078423552,Ghoul,https://tenor.com/view/track-him-find-him-kill-him-bring-him-to-me-get-him-gif-15743207,,general-chat
2022-08-01T14:43:52.649000+00:00,401536937078423552,Ghoul,"I dont think any build has too many issues with killing big bosses(ran 2 builds myself), maybe from challeging upwards they got a bit more time consuming, but never ""From software"" hard 😄",,feedback-and-bugs
2022-08-01T14:40:20.318000+00:00,379941526589145088,lolo-_-guitarra,I've be able to kill a Big Boss without  problems. It's broken,,feedback-and-bugs
2022-08-01T14:39:38.592000+00:00,620231365199265793,battlebot579,"It will be the only way you can play, which is not what the developers want",Ghoul,feedback-and-bugs
2022-08-01T14:38:50.171000+00:00,401536937078423552,Ghoul,But it is fun this way!,battlebot579,feedback-and-bugs
2022-08-01T14:35:37.561000+00:00,615969175864868877,Riggy Gaming,🤣,,general-chat
2022-08-01T14:33:00.322000+00:00,160521135363063809,Jord,🤣youll never take me alive,,general-chat
2022-08-01T14:32:07.750000+00:00,640552808864546828,LukeD,lol,,general-chat
2022-08-01T14:32:04.257000+00:00,640552808864546828,LukeD,Nice knowing ya! 😄,,general-chat
2022-08-01T14:31:57.170000+00:00,640552808864546828,LukeD,"I'm sorry, if the sun can reach your phone then you must be banned",,general-chat
2022-08-01T14:28:20.258000+00:00,160521135363063809,Jord,Always open tho due to my fan pulling air to keep the room cool,,general-chat
2022-08-01T14:27:09.511000+00:00,160521135363063809,Jord,I have blinds and sun blocker curtains 😅,,general-chat
2022-08-01T14:25:07.032000+00:00,640552808864546828,LukeD,"Yes, this",,general-chat
2022-08-01T14:24:54.033000+00:00,160521135363063809,Jord,https://tenor.com/view/think-about-it-use-your-brain-use-the-brain-think-brain-gif-7914082,,general-chat
2022-08-01T14:24:48.489000+00:00,640552808864546828,LukeD,😛,,general-chat
2022-08-01T14:24:44.367000+00:00,640552808864546828,LukeD,Big brain,,general-chat
2022-08-01T14:24:40.548000+00:00,640552808864546828,LukeD,Can't shut the curtains if you don't have curtains,Jord,general-chat
2022-08-01T14:24:11.535000+00:00,160521135363063809,Jord,Aint gonna tell me what i do in my own house 😂unless they wanna pay some rent I aint doing nothing to my room,,general-chat
2022-08-01T15:05:20.775000+00:00,401536937078423552,Ghoul,https://clips.twitch.tv/RacyQuaintPidgeonVoHiYo-VqWDCI6NlsOTAUNP,,feedback-and-bugs
2022-08-01T15:03:23.243000+00:00,401536937078423552,Ghoul,"yeah, like that guy who thought he beat the final boss of elden ring after 250+ tries... And then he found out about the second phase 😄",,feedback-and-bugs
2022-08-01T15:01:33.637000+00:00,620231365199265793,battlebot579,"And you think you have won but, oh wait this is From Software, so you always lose",,feedback-and-bugs
2022-08-01T15:01:00.966000+00:00,620231365199265793,battlebot579,From Software has to remind you that this is a From Software game and nothing is ever easy,Ghoul,feedback-and-bugs
2022-08-01T15:00:51.505000+00:00,640552808864546828,LukeD,Mwuhahaha,,general-chat
2022-08-01T15:00:39.210000+00:00,640552808864546828,LukeD,Who said anything about being alive?,Jord,general-chat
2022-08-01T14:45:02.070000+00:00,401536937078423552,Ghoul,https://tenor.com/view/track-him-find-him-kill-him-bring-him-to-me-get-him-gif-15743207,,general-chat
2022-08-01T14:43:52.649000+00:00,401536937078423552,Ghoul,"I dont think any build has too many issues with killing big bosses(ran 2 builds myself), maybe from challeging upwards they got a bit more time consuming, but never ""From software"" hard 😄",,feedback-and-bugs
2022-08-01T14:40:20.318000+00:00,379941526589145088,lolo-_-guitarra,I've be able to kill a Big Boss without  problems. It's broken,,feedback-and-bugs
2022-08-01T14:39:38.592000+00:00,620231365199265793,battlebot579,"It will be the only way you can play, which is not what the developers want",Ghoul,feedback-and-bugs
2022-08-01T14:38:50.171000+00:00,401536937078423552,Ghoul,But it is fun this way!,battlebot579,feedback-and-bugs
2022-08-01T14:35:37.561000+00:00,615969175864868877,Riggy Gaming,🤣,,general-chat
2022-08-01T14:33:00.322000+00:00,160521135363063809,Jord,🤣youll never take me alive,,general-chat
2022-08-01T14:32:07.750000+00:00,640552808864546828,LukeD,lol,,general-chat
2022-08-01T14:32:04.257000+00:00,640552808864546828,LukeD,Nice knowing ya! 😄,,general-chat
2022-08-01T14:31:57.170000+00:00,640552808864546828,LukeD,"I'm sorry, if the sun can reach your phone then you must be banned",,general-chat
2022-08-01T14:28:20.258000+00:00,160521135363063809,Jord,Always open tho due to my fan pulling air to keep the room cool,,general-chat
2022-08-01T14:27:09.511000+00:00,160521135363063809,Jord,I have blinds and sun blocker curtains 😅,,general-chat
2022-08-01T14:25:07.032000+00:00,640552808864546828,LukeD,"Yes, this",,general-chat
