发文时间,发布者id,发布者名字,内容信息,被提及人,频道
2022-08-01T14:14:45.888000+00:00,379941526589145088,lolo-_-guitarra,"Manufacturing: The system rewards you for manufacturing, so it is mandatory from minute 1, since there are a lot of blueprints to get.  In addition, you have to invest in improving the characteristics of each weapon.  It's very MMO-like and makes sense of farming.  But I have not managed to make exotics, having all three.  Allows you to choose what to focus your weapon on.  The optimization table only raises the level, and does not allow you to modify attributes or abilities of the weapon.The Mods: they cannot be destroyed, but it is logical because they serve to increase the level of the mod that we want to have equipped, including the exotic ones. I like this system. Specializations: Although there are three, in reality we could say that there are six, because they can be developed into an offensive or defensive specialization.  The fact that two are electronics and one is a tank does not worry me, because we hope that more will come in the future.  For PVP I don't know if they are the most suitable.  I choose the shield.Missions: They have a short duration, being focused to play on a mobile.  They are fun.  In the end, I finished them like Lexington in TD1, running to wait for the enemies at their exit doors.  I expect some Legendary with hunters.The streets: They have a lot of activity and many bosses.  But the loot of these bosses is not much, although it is fun to face them.  I expect a condecoration  for cleaning the streets of so many bosses.Future: I would like to see  hunters and legendaries quests.  Being able to test weapons in the shooting gallery at the base of operations.  Being able to change characters without having to close the game.  The PVP I hope is not affected by the builds but by the player.  Here it will be noticed who uses controller.  I expect more difficulty in the new factions, like in TD1 and see what awaits us in the Endgame",,feedback-and-bugs
2022-08-01T14:14:41.263000+00:00,379941526589145088,lolo-_-guitarra,"I will start my impressions with my data.  I have played on a Pocophone F2 Pro, connected to a mobile network and Wi-Fi, on the beach with the screen and at home with a PS4 controller.  I have only reached level 24.Problems: only one crash and some  lag problems in some macthmaking.Fears: Being a cooperative open world, if the number of players in the streets is not fine-tuned, you may not be able to open any backpack and you may not arrive in time to do any activity.  From what I've seen, the activities respawn in a short time.In love: You have listened to the TD1 community when we asked to be able to have the streets as an open world with other players that are not from our team.  Running in & out of the Main Base is great.  That our character finally speaks is also great.  Now you must remember to include Central Park. 😉Weapons: I have used the same as with TD2, especially AR.  With the shield I thought that Lady Dead would be the best, until I tried the exotic LMG.  It's a combination too deadly .  Having bosses with three types of weakness makes you need three weapin for racha exotic.  It's fun.  The enemies are sponges, yes, it has always been like that, it is part of this game.  There are no guns, although I don't usually use them much.",,feedback-and-bugs
2022-08-01T14:10:30.786000+00:00,615969175864868877,Riggy Gaming,Yes,,general-chat
2022-08-01T14:10:21.568000+00:00,485221634265841676,𝕋𝕠𝕞𝕞𝕪 🕹🎮🎧🎶,"Good morning, one question, is the alpha finished yet?",,general-chat
2022-08-01T14:05:35.697000+00:00,663846128495624212,Kill_The_Dead,"Talking of hidden features, did anyone find any Easter eggs??",,feedback-and-bugs
2022-08-01T14:03:51.846000+00:00,177914887949778944,Rautakettu,"true, Division games doesn't have bugs...just lots of hidden features",battlebot579,feedback-and-bugs
2022-08-01T14:01:14.023000+00:00,160521135363063809,Jord,Closing curtains 😅tf,,general-chat
2022-08-01T13:58:09.657000+00:00,663846128495624212,Kill_The_Dead,"The only issue I noticed was that guns sounds would dip in and out, more so when there was a few NPC's around.(Potentially though is maybe an issue with my phones processing power).On a side note I do have one request, would it's be possible to make hit damage more visual or utilise haptic feedback or vibration motors. Found my losing a lot of health, and the only time I noticed is when I got the audio cue for critical health warning.",,feedback-and-bugs
2022-08-01T13:41:37.363000+00:00,249616438531194891,Mordia,Ibloved the game it looks and player realy good ....boe please please please what ever you do dont make this into a other diablo inmortal... wr all get it that money need to be made Just dont go overboard ...other wise I think the game is going to be a absolute topper,,feedback-and-bugs
2022-08-01T13:39:53.381000+00:00,620231365199265793,battlebot579,I can still remember vague parts of it like the bit about closing your curtains and its effective time period of 3 years or 6 months after release and the part about deleting the app after each test,,general-chat
2022-08-01T13:39:02.955000+00:00,620231365199265793,battlebot579,"I dont think you can look at it until you get the next email for the next test, you will probably have to sign it again but Idk for sure",Zycore,general-chat
2022-08-01T13:38:46.142000+00:00,325524092809773056,CuzitoLGD,Really gud,,general-chat
2022-08-01T13:38:42.337000+00:00,325524092809773056,CuzitoLGD,Just go on settings > appearance > light mode,,general-chat
2022-08-01T13:38:22.877000+00:00,325524092809773056,CuzitoLGD,Light mode is really good and u can try it for free with discord,,general-chat
2022-08-01T12:58:28.185000+00:00,211938703591997451,Zycore,Saying that. Does anyone have a copy of the NDA. When you go to the site it's no longer there.,,general-chat
2022-08-01T12:55:09.990000+00:00,160521135363063809,Jord,Maybe they just wanted to crack down this time,,general-chat
2022-08-01T12:55:06.353000+00:00,211938703591997451,Zycore,Might be down to primary studio location but that may not be it as other have had different locations and used the same jurisdiction.,,general-chat
2022-08-01T12:54:18.816000+00:00,211938703591997451,Zycore,Yea. But it's not the same jurisdiction as other NDA they have had for division. I wonder what the thinking was behind it.,,general-chat
2022-08-01T12:53:27.207000+00:00,160521135363063809,Jord,I mean it is one of the first triple A games of its kind to come to mobile so its only natural they want to keep a tightly sealed lid on it with legal defence,Zycore,general-chat
2022-08-01T12:51:49.590000+00:00,160521135363063809,Jord,Ye,PorterEva,general-chat
2022-08-01T12:51:47.746000+00:00,211938703591997451,Zycore,I read it from cover to cover. A few interesting points in there. Especially the jurisdiction they decided to go with for legal defense.,battlebot579,general-chat
2022-08-01T12:50:12.662000+00:00,652604052873412609,PorterEva,just wait for the Grim Reaper to revive that game with another test,,general-chat
2022-08-01T12:49:54.541000+00:00,652604052873412609,PorterEva,Here lies The Division Resurgence: it lived and died,,general-chat
2022-08-01T12:40:16.626000+00:00,401536937078423552,Ghoul,Sorry 😦,battlebot579,ask-the-team
2022-08-01T12:38:06.127000+00:00,331840448257720331,Eckmayay,Aww,,general-chat
2022-08-01T12:35:25.166000+00:00,160521135363063809,Jord,Sad times,,general-chat
2022-08-01T12:20:01.114000+00:00,211415665397989377,LordGoomba,From my time playing I noticed that close up things biped in and out at times,,feedback-and-bugs
2022-08-01T12:19:41.576000+00:00,524241043248644116,fjwiuyhwgfahs,aimers,,general-chat
2022-08-01T12:19:19.723000+00:00,620231365199265793,battlebot579,"all of div mobiles other tweets have been constantly answering the same question 500 times in a row and posting news info (although tbf I dont know if anyone has made anything else to do with the game yet) They did tweet out NGN's video but he did a collab with ubisoft so even then, they probably had some input with that as nobody else has talked about the seasons, more exotic weapons, more specs or anything like that",,ask-the-team
2022-08-01T12:17:20.058000+00:00,620231365199265793,battlebot579,considering that the games official twitter retweeted my guide and I am a mod on discord I made thats pretty good for someone who doesnt work at ubi,,ask-the-team
2022-08-01T12:16:03.199000+00:00,620231365199265793,battlebot579,"You know I don't work for ubi, stop being a troll",Ghoul,ask-the-team
2022-08-01T12:09:11.440000+00:00,401536937078423552,Ghoul,By now I would expect you to be best buds with Yves 😄,,ask-the-team
2022-08-01T12:07:11.820000+00:00,401536937078423552,Ghoul,Jezz you move up in the world so slowly! 😄,,ask-the-team
2022-08-01T12:06:58.837000+00:00,401536937078423552,Ghoul,Why arent you important enough yet 😮,,ask-the-team
2022-08-01T12:03:57.913000+00:00,620231365199265793,battlebot579,yeah its not up to me lol,,ask-the-team
2022-08-01T12:03:55.035000+00:00,401536937078423552,Ghoul,canadians also ok,,ask-the-team
2022-08-01T12:03:45.912000+00:00,401536937078423552,Ghoul,"Yes, they are cool",,ask-the-team
2022-08-01T12:03:37.699000+00:00,620231365199265793,battlebot579,Aussies then?,Ghoul,ask-the-team
2022-08-01T12:03:13.757000+00:00,401536937078423552,Ghoul,Don't add the 'Muricans please 😦,,ask-the-team
2022-08-01T12:03:10.013000+00:00,620231365199265793,battlebot579,It is a feature,,feedback-and-bugs
2022-08-01T12:02:49.508000+00:00,401536937078423552,Ghoul,This isnt a bug 😂,ianst28,feedback-and-bugs
2022-08-01T11:59:37.222000+00:00,999709254569168916,ZeKidPaddle,"Strangely, I had 0 bug on my Xiaomi 10T Pro.Some problems with textures that took time to display and some framerate drops but nothing too bad!It promises to be a really good game! congratulations to the team, I really enjoyed this alpha test 😎😎",,feedback-and-bugs
2022-08-01T11:53:41.141000+00:00,620231365199265793,battlebot579,if you have any suggestions you can leave them in   glad you had a good time playing the game :)),ZeKidPaddle,general-chat
2022-08-01T11:52:55.181000+00:00,999709254569168916,ZeKidPaddle,I was so much like a kid and fully into the game that some details may have been overlooked 😅Yes ! the game is really good and I can't wait to play it with my friends from my clan!,battlebot579,general-chat
2022-08-01T11:49:45.167000+00:00,620231365199265793,battlebot579,did you have fun playing?,,general-chat
2022-08-01T11:49:30.385000+00:00,620231365199265793,battlebot579,you would be forgiven for not reading the NDA bc I imagine I was one of the 3 people that did but it does say that in it,,general-chat
2022-08-01T11:48:57.733000+00:00,620231365199265793,battlebot579,you have to delete,ZeKidPaddle,general-chat
2022-08-01T11:48:32.898000+00:00,620231365199265793,battlebot579,"lots of people could not download because not all devices had been tested or those that were did not reach satisfactory quality, sounds like the vast majority of people had a very good time tho",ianst28,feedback-and-bugs
2022-08-01T11:46:21.839000+00:00,999788320122998825,ianst28,Biggest bug I found was actually getting into the app..... Wouldn't download to my S21 ultra and I never managed to get in..... Hope it was good though,,feedback-and-bugs
2022-08-01T11:39:47.915000+00:00,620231365199265793,battlebot579,"I imagine the next test will be some time next month, as they dont plan many player facing changes I assume they are going to add more regions instead",,ask-the-team
2022-08-01T11:39:28.898000+00:00,999709254569168916,ZeKidPaddle,A bit stupid question (and sorry if it has already been asked) but should we keep the game in our phone or will we have another version to download for the next test phase?,,general-chat
2022-08-01T11:38:29.080000+00:00,620231365199265793,battlebot579,"more will be added in the future, so the existing list is not necessarily obsolete, just incomplete",,general-chat
2022-08-01T11:37:43.121000+00:00,620231365199265793,battlebot579,https://discord.com/channels/948237510914486303/997434620809322547/997453486021169222 If you still wanna look,Kill_The_Dead,general-chat
2022-08-01T11:37:31.496000+00:00,401536937078423552,Ghoul,"Doesnt matter anymore, the current list is obsolete now",Kill_The_Dead,general-chat
2022-08-01T11:37:06.315000+00:00,620231365199265793,battlebot579,I think somebody said there was an issue with windows absorbing bullets iirc,[Battle Squad] BLUBOX (PCA),feedback-and-bugs
2022-08-01T11:36:17.249000+00:00,620231365199265793,battlebot579,"I would hold off any purchases if it is just to try and play an alpha, your device might be made compatible in the future",BigDiddy316,ask-the-team
2022-08-01T11:35:55.400000+00:00,401536937078423552,Ghoul,"Yes, then you should have used the same google account as on your pc to log in and all would have been fine 🙂 This is a case of user error and not a failed test 🙂",BigDiddy316,ask-the-team
2022-08-01T11:35:05.594000+00:00,663846128495624212,Kill_The_Dead,Where is this list of compatible devices?,,general-chat
2022-08-01T11:34:38.249000+00:00,160864980449755147,Euden,I only have a Pixel 3aXL 😅  here's hoping the next test adds support,,general-chat
2022-08-01T11:33:29.990000+00:00,184427533037600768,[Battle Squad] BLUBOX (PCA),"It was very fun to play in the Samsung Galaxy Zfold3 ! Cant wait to be able to put the graphics to the maximum ! 😀 I've met some clipping only at the first time to Trinity, but the little sessions I've played, I didnt met other clipping or bugs !The only thing I think would be good is, as on The Division 2, to be able to shoot enemies over cars' windows or so, the collision meshs seems to be a little too basic maybe ? =)Cant wait to play to other sessions and see if there will be other specs !Thanks a lot for let me play to this session, it made me addict ! I love D2 in PC, and I love to be able to take the Division univers everywhere in my pocket !!",,feedback-and-bugs
2022-08-01T11:23:31.969000+00:00,998866980574613574,BigDiddy316,Thanks for your help,,ask-the-team
2022-08-01T11:23:23.134000+00:00,998866980574613574,BigDiddy316,Wicked hopefully bybthen i will have a better phone or device to play the test on,,ask-the-team
2022-08-01T11:22:27.712000+00:00,620231365199265793,battlebot579,"you should get invited for the next tests because you were invited to this one, and that should have a separate and new code to use with it",,ask-the-team
2022-08-01T11:21:44.582000+00:00,620231365199265793,battlebot579,"Don't worry about the code now, after you redeemed it there was a link on the email that took you to the store page if you had already redeemed the code but lost the page or opened it on pc",BigDiddy316,ask-the-team
2022-08-01T11:20:52.722000+00:00,620231365199265793,battlebot579,"I was gutted as well I couldnt play, more devices will be added in later alpha tests",BigDiddy316,ask-the-team
2022-08-01T11:20:20.360000+00:00,998866980574613574,BigDiddy316,Also opened the activation code by mistake on email via pc....and when I tried to activate on tablet or phone it said activation already used ....so another failed alpha.....,,ask-the-team
2022-08-01T11:19:41.981000+00:00,620231365199265793,battlebot579,each subsequent test should bring more compatible devices yes,Pokeféan,general-chat
2022-08-01T11:19:14.767000+00:00,998866980574613574,BigDiddy316,Device I am using is a OnePlus 6t,,ask-the-team
2022-08-01T11:19:05.487000+00:00,640552808864546828,LukeD,"I'm hoping my future phone is compatible too lol. My Samsung upgrade ....""membership""? ends this month so I either give this note back or pay a lump sum to keep it lol",battlebot579,feedback-and-bugs
2022-08-01T11:19:01.258000+00:00,946460975815610428,Pokeféan,I hope that more devices will be supported,battlebot579,general-chat
2022-08-01T11:18:41.329000+00:00,998866980574613574,BigDiddy316,Wasn't able to play on my mobile it stated that the device was incompatible.....so gutted I could not pla,,ask-the-team
2022-08-01T11:17:27.356000+00:00,620231365199265793,battlebot579,I hope mine is available too :)),Meteorfire,feedback-and-bugs
2022-08-01T11:17:01.093000+00:00,620231365199265793,battlebot579,"yessir, my best guess is at least 2-3 more, monthly for the next few monthsAt a guess next alpha will test expanding infrastructure (this test was EU only) bc James said there will be minimal player facing changesSo hopefully the ones after that will start to test balance and optimisation",Kill_The_Dead,general-chat
2022-08-01T11:16:32.766000+00:00,779762413255262210,Meteorfire,Hope my phone will be one of them. 😖,battlebot579,feedback-and-bugs
2022-08-01T11:13:14.416000+00:00,663846128495624212,Kill_The_Dead,😊 so more chances to play,battlebot579,general-chat
2022-08-01T11:13:07.584000+00:00,620231365199265793,battlebot579,they need to get pve balance right first,,general-chat
2022-08-01T11:12:56.920000+00:00,620231365199265793,battlebot579,so there is plenty of time left for that,,general-chat
2022-08-01T11:12:18.921000+00:00,620231365199265793,battlebot579,alphas plural because there will be more closed alphas before any betas,,general-chat
2022-08-01T11:12:08.156000+00:00,779762413255262210,Meteorfire,PVE DZ,,general-chat
2022-08-01T11:12:03.521000+00:00,257667780680089600,gkopou,They have said a lot... 😜,battlebot579,general-chat
2022-08-01T11:11:44.676000+00:00,663846128495624212,Kill_The_Dead,Well darkzone maybe.,Ghoul,general-chat
2022-08-01T11:11:40.401000+00:00,620231365199265793,battlebot579,The only thing we know for sure is that it is not in any of the alphas,,general-chat
2022-08-01T11:11:26.566000+00:00,620231365199265793,battlebot579,They have said it will be in the game at launch,gkopou,general-chat
